OBJECTID,Join_Count,TARGET_FID,JOIN_FID,EGRID,COMMUNE,NO_COMM,NO_PARCELLE,IDEDDP,SURFACE,MUTMAI,MUTORI,PROVENANCE,VALIDITE,TYPE_PROPRI,PLAN_RF,EXTRAIT_RDPPF_PDF,NO_CLASSEMENT,NOM,NATURE_OBJET,DATE_ACE,PROTECTION_FEDERALE,LIEN_WWW,LIEN_ARRETE,SHAPE_Length,SHAPE_Area,x,y
"1","1","146","75",CH428330656337,Lancy,"31","3811",31:3811,"4683","491995","491995",terrestre,en vigueur,DP cantonal,"25",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH428330656337,MS-c 145,Vallon de l'Aire,Parcelle,29.04.1958,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c145.pdf,528.213612206789,4683.29118086747,6.1199939520,46.1840958397
"2","1","271","581",CH828140656359,Confignon,"18","11565",18:11565,"7559","0062005","0062005",terrestre,en vigueur,privé,"4",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH828140656359,MS-c 64,Bois au bord de l'Aire,Parcelle,"09.11.1923,19.09.1934,16.01.1935","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c64.pdf,365.126063255993,7559.19882679409,6.0980716020,46.1755498627
"3","1","375","857",CH159765846319,Cartigny,"9","1370",9:1370,"6585",,"0000000",terrestre,en vigueur,privé,"20",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH159765846319,MS-c 42,Temple de Cartigny - parcelle,Parcelle,30.12.1921,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c42.pdf,359.387691974079,6585.1776001885,6.0176489892,46.1736322070
"4","1","440","841",CH159565856370,Bernex,"7","4983",7:4983,"1989","331986","331986",terrestre,en vigueur,privé,"15",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH159565856370,MS-c 64,Bois au bord de l'Aire,Parcelle,"16.01.1935,19.09.1934,09.11.1923","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c64.pdf,245.179434682649,1989.31554128639,6.0757048325,46.1637552984
"5","1","587","333",CH228335656360,Carouge,"8","1919",8:1919,"280","861966","861966",terrestre,en vigueur,privé,"54",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH228335656360,MS-c 278,Ancien canal de Carouge,Parcelle,05.07.2018,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c278.pdf,67.3492013690804,280.062409866917,6.1386734273,46.1803986348
"6","1","735","407",CH916328658202,Russin,"40","2120",40:2120,"496",,"0000000",terrestre,en vigueur,privé,"18",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH916328658202,MS-c 283,La Grand-Cour (ancienne maison de Chapeaurouge),"Maison, immeuble",15.12.2021,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c283.pdf,101.620907289423,495.866987054309,6.0127133792,46.1886929955
"7","1","958","747",CH896583866356,Genève-Cité,"21","5628",21:5628,"2778","201966","201966",terrestre,en vigueur,privé,"42",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH896583866356,MS-c 206,Basilique Notre-Dame,"Maison, immeuble",20.10.1976,Oui,https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c206.pdf,214.848870083561,2778.46584783066,6.1420372891,46.2087289968
"8","1","1048","878",CH816357658068,Lancy,"31","3817",31:3817,"4587","0252015","491995",terrestre,en vigueur,DP cantonal,"26",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH816357658068,MS-c 145,Vallon de l'Aire,Parcelle,29.04.1958,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c145.pdf,1091.81627799523,4587.24898791273,6.1216111313,46.1869964667
"9","1","1051","793",CH636583632736,Lancy,"31","1544",31:1544,"1918","0252015","0000000",terrestre,en vigueur,privé,"26",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH636583632736,MS-c 145,Vallon de l'Aire,Parcelle,29.04.1958,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c145.pdf,268.810018114561,1918.13282004124,6.1214923466,46.1863850116
"10","1","1097","388",CH196580216331,Grand-Saconnex,"26","547",26:547,"92",,"0000000",terrestre,en vigueur,privé,"19",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH196580216331,MS-c 156,Fontaine couverte du Grand-Saconnex,Objets divers,17.06.1960,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c156.pdf,47.2453967420679,92.1075730853374,6.1260905998,46.2368922063
"11","1","1145","317",CH296582426313,Bernex,"7","2843",7:2843,"3426",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH296582426313,MS-c 102,Coteau du Signal de Bernex,Parcelle,"03.10.1933,06.02.1935","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,252.736214342884,3426.26594365707,6.0694077734,46.1676619986
