servisAdi;veriSahibi;servisSahibi;servisTipi;servisVersiyonu;servisYayimlanmaTarihi;ozetBilgi;anahtarKelimeler;ilgiliKisi;ilgiliKisiTel;ilgiliKisiEposta;servisUrl;metaveri;temelKRS;sunucuTipi;sunucuVersiyonu;yetkiSeviyesi;hukuki
IDARI SINIR (HGK) / BOUNDARIES;Harita Genel Komutanlığı;T.C. Çevre ve Şehircilik Bakanlığı;WMS;1.3.0;1012017;Idari Sınır;idari sınır;cvsh@csb.gov.tr;9,0312E+11;cvsh@csb.gov.tr;https://tucbs-public-api.csb.gov.tr/trk_hgk_idari_sinir_wms;VAR;EPSG:4326;ESRI;10.3.1;genel;Bilgi Amaçlıdır. Resmi İşlemlerde Kullanılamaz.
IDARI SINIR / BOUNDARIES;T.C. Çevre ve Şehircilik Bakanlığı;T.C. Çevre ve Şehircilik Bakanlığı;WMS;1.3.0;1012017;Idari Sınır;idari sınır;cvsh@csb.gov.tr;9,0312E+11;cvsh@csb.gov.tr;https://tucbs-public-api.csb.gov.tr/trk_cbs_idari_sinir_wms;VAR;EPSG:4326;ESRI;10.3.1;genel;Bilgi Amaçlıdır. Resmi İşlemlerde Kullanılamaz.
IDARI SINIR (Koy Mahalle) / BOUNDARIES (Town District);T.C. Çevre ve Şehircilik Bakanlığı;T.C. Çevre ve Şehircilik Bakanlığı;WMS;1.3.0;1012017;Idari Sınır;idari sınır;cvsh@csb.gov.tr;9,0312E+11;cvsh@csb.gov.tr;https://tucbs-public-api.csb.gov.tr/trk_cbs_koy_mah_sinir_wms;VAR;EPSG:4326;ESRI;10.3.1;genel;Bilgi Amaçlıdır. Resmi İşlemlerde Kullanılamaz.
SRTM DEM;T.C. Çevre ve Şehircilik Bakanlığı;T.C. Çevre ve Şehircilik Bakanlığı;WMS;1.3.0;1012017;SRTM;yükseklik, srtm;cvsh@csb.gov.tr;9,0312E+11;cvsh@csb.gov.tr;https://tucbs-public-api.csb.gov.tr/trk_srtm_wms;VAR;EPSG:4326;ESRI;10.3.1;genel;Bilgi Amaçlıdır. Resmi İşlemlerde Kullanılamaz.
RASAT EO SAT;TUBITAK UZAY;Bakanlığı;WMS;1.0.0;;RASAT Imagery;RASAT Imagery;;;;https://tucbs-test-api.csb.gov.tr/trk_rasat_wms;;EPSG:4326;;;genel;Bilgi Amaçlıdır. Resmi İşlemlerde Kullanılamaz.
CORINE 1990;T.C. Orman ve Su İşleri Bakanlığı;T.C. Çevre ve Şehircilik Bakanlığı;WMS;1.3.0;1012017;CORINE 1990;corine;cvsh@csb.gov.tr;9,0312E+11;cvsh@csb.gov.tr;https://tucbs-public-api.csb.gov.tr/trk_corine_1990_wms;VAR;EPSG:4326;ESRI;10.3.1;genel;Bilgi Amaçlıdır. Resmi İşlemlerde Kullanılamaz.
CORINE 2000;T.C. Orman ve Su İşleri Bakanlığı;T.C. Çevre ve Şehircilik Bakanlığı;WMS;1.3.0;1012017;CORINE 2000;corine;cvsh@csb.gov.tr;9,0312E+11;cvsh@csb.gov.tr;https://tucbs-public-api.csb.gov.tr/trk_corine_2000_wms;VAR;EPSG:4326;ESRI;10.3.1;genel;Bilgi Amaçlıdır. Resmi İşlemlerde Kullanılamaz.
CORINE 2006;T.C. Orman ve Su İşleri Bakanlığı;T.C. Çevre ve Şehircilik Bakanlığı;WMS;1.3.0;1012017;CORINE 2006;corine;cvsh@csb.gov.tr;9,0312E+11;cvsh@csb.gov.tr;https://tucbs-public-api.csb.gov.tr/trk_corine_2006_wms;VAR;EPSG:4326;ESRI;10.3.1;genel;Bilgi Amaçlıdır. Resmi İşlemlerde Kullanılamaz.
CORINE 2012;T.C. Orman ve Su İşleri Bakanlığı;T.C. Çevre ve Şehircilik Bakanlığı;WMS;1.3.0;1012017;CORINE 2012;corine;cvsh@csb.gov.tr;9,0312E+11;cvsh@csb.gov.tr;https://tucbs-public-api.csb.gov.tr/trk_corine_2012_wms;VAR;EPSG:4326;ESRI;10.3.1;genel;Bilgi Amaçlıdır. Resmi İşlemlerde Kullanılamaz.
TUIK NUFUS 2013 / POPULATION;Türkiye İstatistik Kurumu;T.C. Çevre ve Şehircilik Bakanlığı;WMS;1.3.0;1012017;TUIK tarafından olusturulmus 2013 nufus yogunluk gridi;nüfus, TÜİK;cvsh@csb.gov.tr;9,0312E+11;cvsh@csb.gov.tr;https://tucbs-public-api.csb.gov.tr/trk_tuik_nufus_2013_wms;VAR;EPSG:4326;ESRI;10.3.1;genel;Bilgi Amaçlıdır. Resmi İşlemlerde Kullanılamaz.
